created_at,"field1(Temperature ºC )",field2(Humidity),field3(Voltage),"field4(WIFI RSSI)",field5,field6,field7,field8,field9,field10,field11,field12,field13,field14,field15,status,lat,long,elev,wifi,cell,serial,log,wifi_loc,cell_loc
2025-06-04T18:54:47-04:00,22.8798,56.3394,4.0219,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:54:49-04:00,,,,-54,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:55:47-04:00,22.8931,56.1517,4.0219,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:55:48-04:00,,,,-55,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:56:47-04:00,22.8931,56.1715,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:56:49-04:00,,,,-55,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:57:48-04:00,22.9225,56.0983,4.0219,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:57:50-04:00,,,,-56,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:58:48-04:00,22.9225,56.1563,4.0219,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:58:49-04:00,,,,-55,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:59:47-04:00,22.9091,56.1074,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:59:49-04:00,,,,-55,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T19:00:48-04:00,22.9225,56.1563,4.0219,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T19:00:53-04:00,,,,-55,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T19:01:48-04:00,22.9492,56.17,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T19:01:49-04:00,,,,-55,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T19:02:47-04:00,22.9786,56.0739,4.0219,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T19:02:49-04:00,,,,-55,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T19:03:48-04:00,22.9786,56.199,4.0219,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T19:03:50-04:00,,,,-56,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T19:04:48-04:00,22.9652,56.1166,4.0219,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T19:04:49-04:00,,,,-54,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T19:05:47-04:00,22.9786,56.1746,4.0219,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T19:05:49-04:00,,,,-55,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
